Txn_ID,Posting_Date_Raw,Invoice_Date_Raw,Fiscal_Period,Entity,Account_Code_Raw,Cost_Center_Raw,Cost_Center,Vendor_Name_Raw,Invoice_Number,PO_Number,Currency,Amount,Tax_Code,Narrative,Source_System
TXN004209,2026-06-22,2026-06-14,2026-06,PNG01,4100,,ACT,Salesforce,BOB-PL-0001,PO-PL-9578,NZD,127291.16,GST,P&L transaction - Interest income,API Import
TXN004210,2026-06-29,2026-06-23,2026-06,FJI01,5120,,VIC,Deloitte,BOB-PL-0002,PO-PL-9542,AUD,81860.13,EXPORT,P&L transaction - Office supplies,Oracle
TXN004211,2026-06-11,2026-06-01,2026-06,PNG01,4000,,NSW,LinkedIn,BOB-PL-0003,PO-PL-6277,USD,158316.45,GST-FREE,P&L transaction - Product sales,API Import
TXN004212,2026-06-04,2026-02-28,2026-06,PNG01,5100,,TAS,Officeworks,BOB-PL-0004,PO-PL-6867,NZD,76501.64,INPUT,P&L transaction - Office rent,Manual Entry
TXN004213,2026-06-04,2026-02-22,2026-06,FJI01,5000,,NSW,Officeworks,BOB-PL-0005,PO-PL-5270,AUD,185387.51,GST,P&L transaction - Salaries and wages,Manual Entry
TXN004214,2026-06-03,2026-02-23,2026-06,PNG01,5920,,TAS,Qantas Commercial,BOB-PL-0006,PO-PL-9921,GBP,192200.91,GST,P&L transaction - FX Loss,Manual Entry
TXN004215,2026-06-06,2026-06-03,2026-06,AUS01,5110,,MKT,Microsoft,BOB-PL-0007,PO-PL-3452,AUD,98544.5,EXPORT,P&L transaction - Utilities,Workday
TXN004216,2026-06-19,2026-06-13,2026-06,AUS01,2210,,QLD,Energy Australia,BOB-PL-0008,PO-PL-4412,GBP,38167.78,GST-FREE,P&L transaction - Income tax payable,Manual Entry
TXN004217,2026-06-12,2026-06-03,2026-06,PNG01,6030,,WA,AWS,BOB-PL-0009,PO-PL-4864,AUD,44975.69,GST-FREE,P&L transaction - Manufacturing overhead,Oracle
TXN004218,2026-06-07,2026-02-28,2026-06,AUS01,4010,,OPS,Officeworks,BOB-PL-0010,PO-PL-8283,USD,383996.53,EXPORT,P&L transaction - Service revenue,SAP
TXN004219,2026-06-12,2026-06-09,2026-06,AUS01,5000,,QLD,AWS,BOB-PL-0011,PO-PL-1257,AUD,124755.66,GST-FREE,P&L transaction - Salaries and wages,Oracle
TXN004220,2026-06-01,2026-02-19,2026-06,FJI01,5200,,MKT,Salesforce,BOB-PL-0012,PO-PL-4049,NZD,46821.13,INPUT,P&L transaction - Software licenses,API Import
TXN004221,2026-06-21,2026-06-17,2026-06,FJI01,5700,,FIN,AWS,BOB-PL-0013,PO-PL-7358,AUD,74428.99,GST,P&L transaction - Training,Workday
TXN004222,2026-06-20,2026-06-13,2026-06,FJI01,4020,,TAS,LinkedIn,BOB-PL-0014,PO-PL-2381,AUD,167092.92,GST-FREE,P&L transaction - Subscription revenue,SAP
TXN004223,2026-06-01,2026-02-26,2026-06,PNG01,5300,,VIC,Google Ads,BOB-PL-0015,PO-PL-3713,AUD,103197.09,INPUT,P&L transaction - Professional services,Workday
