Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0001,TXN006209,PNG01,FIN,Finance & Accounting,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0001,PO-ESG-4109,109010.87,tCO2e avoided,702.43,756.39,107.7,306.44,67.7,53,22109.9,0.12,No,None,Complete,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0002,TXN006210,FJI01,MKT,Marketing & Sales,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0002,PO-ESG-3341,71623.45,supplier_score,519.58,618.75,119.1,474.99,53.7,98,-42996.96,-0.59,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0003,TXN006211,AUS01,QLD,Queensland Operations,Waste reduction,5600,Telecommunications,EcoVadis,BOB-ESG-0003,PO-ESG-8244,114736.94,renewable_kwh,693.19,626.77,90.4,279.71,17.5,61,60698.92,-0.71,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0004,TXN006212,NZL01,SA,South Australia Operations,Waste reduction,5600,Telecommunications,Origin Energy,BOB-ESG-0004,PO-ESG-5908,16876.18,audit_evidence_count,525.53,465.11,88.5,432.08,71.6,55,-31935.89,0.05,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0005,TXN006213,PNG01,CORP,Corporate Head Office,Energy usage,5110,Utilities,Bureau Veritas,BOB-ESG-0005,PO-ESG-4821,47962.31,tCO2e avoided,122.99,93.75,76.2,235.85,28.1,87,58056.92,-0.46,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0006,TXN006214,FJI01,OPS,Operations & Logistics,Compliance assurance,5320,Audit Fees,EcoVadis,BOB-ESG-0006,PO-ESG-1977,115921.96,renewable_kwh,920.29,924.46,100.5,426.86,85.5,91,-32613.23,-0.27,No,None,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0007,TXN006215,FJI01,TAS,Tasmania Operations,Compliance assurance,5320,Audit Fees,Bureau Veritas,BOB-ESG-0007,PO-ESG-8327,85235.83,waste_kg_reduced,289.93,218.4,75.3,76.37,9.7,83,-13556.91,0.22,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0008,TXN006216,AUS01,R&D,Research & Development,Supplier ESG premium,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0008,PO-ESG-9267,119005.41,audit_evidence_count,529.36,521.3,98.5,257.54,39.0,52,-33400.85,0.26,No,None,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0009,TXN006217,NZL01,OPS,Operations & Logistics,Renewable sourcing premium,6000,Cost of Goods Sold,Origin Energy,BOB-ESG-0009,PO-ESG-1904,65724.58,audit_evidence_count,56.45,39.06,69.2,385.68,64.0,96,45397.26,-0.1,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0010,TXN006218,NZL01,R&D,Research & Development,Carbon offsets,5300,Professional Services,Bureau Veritas,BOB-ESG-0010,PO-ESG-6610,87525.95,supplier_score,385.4,343.14,89.0,281.51,56.8,78,55787.11,0.16,No,None,Missing,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
