Demo_Task,Fiscal_Period,Txn_ID,Entity,Posting_Date,Account_Code,P_L_Section,P_L_Line_Item,Category,Cost_Center,Cost_Center_Name,Vendor_or_Customer,Invoice_Number,PO_Number,Amount_AUD,Input_or_Calculated,Close_Readiness_Flag,Anomaly_Flag,Approval_Required,Source_File_Target
"IBM BOB 1 - Group P&L",2026-06,TXN004209,AUS01,2026-06-14,5000,"General and administrative","Salaries and wages",Personnel,VIC,"Victoria Operations","Energy Australia",BOB-PL-0001,PO-PL-8851,16437.79,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004210,NZL01,2026-06-18,5000,"General and administrative","Salaries and wages",Personnel,NT,"Northern Territory Operations","Google Ads",BOB-PL-0002,PO-PL-2207,97047.15,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004211,AUS01,2026-06-16,5110,"Other operating expenses",Utilities,Facilities,CORP,"Corporate Head Office","QBE Insurance",BOB-PL-0003,PO-PL-4797,79899.48,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004212,PNG01,2026-06-08,5320,"General and administrative","Audit fees",External,MKT,"Marketing & Sales","IBM Australia",BOB-PL-0004,PO-PL-2774,38629.84,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004213,AUS01,2026-06-18,4000,Revenue,"Product sales","Operating Revenue",SA,"South Australia Operations","Google Ads",BOB-PL-0005,PO-PL-3728,387001.32,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004214,AUS01,2026-06-17,4010,Revenue,"Service revenue","Operating Revenue",CORP,"Corporate Head Office","Melbourne Airport",BOB-PL-0006,PO-PL-9465,390892.72,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004215,AUS01,2026-06-15,5500,"Sales and marketing","Campaign spend",Sales,SA,"South Australia Operations","IBM Australia",BOB-PL-0007,PO-PL-3085,36040.39,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004216,AUS01,2026-06-30,4000,Revenue,"Product sales","Operating Revenue",MKT,"Marketing & Sales","IBM Australia",BOB-PL-0008,PO-PL-4277,313964.34,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004217,AUS01,2026-06-17,5200,"Research and development","Software licenses",IT,ACT,"Australian Capital Territory",Deloitte,BOB-PL-0009,PO-PL-8716,43203.51,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004218,AUS01,2026-06-08,4010,Revenue,"Service revenue","Operating Revenue",QLD,"Queensland Operations","Google Ads",BOB-PL-0010,PO-PL-3715,419050.23,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004219,NZL01,2026-06-08,5200,"Research and development","Software licenses",IT,IT,"Information Technology","QBE Insurance",BOB-PL-0011,PO-PL-2823,111595.69,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
"IBM BOB 1 - Group P&L",2026-06,TXN004220,AUS01,2026-06-02,5510,"Sales and marketing",Advertising,Sales,R&D,"Research & Development","IBM Australia",BOB-PL-0012,PO-PL-6767,133445.86,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
