Demo_Task,Fiscal_Period,Txn_ID,Entity,Posting_Date,Account_Code,P_L_Section,P_L_Line_Item,Category,Cost_Center,Cost_Center_Name,Vendor_or_Customer,Invoice_Number,PO_Number,Amount_AUD,Input_or_Calculated,Close_Readiness_Flag,Anomaly_Flag,Approval_Required,Source_File_Target
IBM BOB 1 - Group P&L,2026-06,TXN004209,PNG01,2026-06-22,4100,Other income / expense,Interest income,Non-Operating Revenue,ACT,Australian Capital Territory,Salesforce,BOB-PL-0001,PO-PL-9578,127291.16,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004210,FJI01,2026-06-29,5120,Other operating expenses,Office supplies,Facilities,VIC,Victoria Operations,Deloitte,BOB-PL-0002,PO-PL-9542,81860.13,Input,Pending review,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004211,PNG01,2026-06-11,4000,Revenue,Product sales,Operating Revenue,NSW,New South Wales Operations,LinkedIn,BOB-PL-0003,PO-PL-6277,158316.45,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004212,PNG01,2026-06-04,5100,Other operating expenses,Office rent,Facilities,TAS,Tasmania Operations,Officeworks,BOB-PL-0004,PO-PL-6867,76501.64,Input,Ready,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004213,FJI01,2026-06-04,5000,General and administrative,Salaries and wages,Personnel,NSW,New South Wales Operations,Officeworks,BOB-PL-0005,PO-PL-5270,185387.51,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004214,PNG01,2026-06-03,5920,Other income / expense,FX Loss,Finance,TAS,Tasmania Operations,Qantas Commercial,BOB-PL-0006,PO-PL-9921,192200.91,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004215,AUS01,2026-06-06,5110,Other operating expenses,Utilities,Facilities,MKT,Marketing & Sales,Microsoft,BOB-PL-0007,PO-PL-3452,98544.5,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004216,AUS01,2026-06-19,2210,Tax provision,Income tax payable,Current Liabilities,QLD,Queensland Operations,Energy Australia,BOB-PL-0008,PO-PL-4412,38167.78,Input,Pending review,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004217,PNG01,2026-06-12,6030,Cost of revenue,Manufacturing overhead,COGS,WA,Western Australia Operations,AWS,BOB-PL-0009,PO-PL-4864,44975.69,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004218,AUS01,2026-06-07,4010,Revenue,Service revenue,Operating Revenue,OPS,Operations & Logistics,Officeworks,BOB-PL-0010,PO-PL-8283,383996.53,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004219,AUS01,2026-06-12,5000,General and administrative,Salaries and wages,Personnel,QLD,Queensland Operations,AWS,BOB-PL-0011,PO-PL-1257,124755.66,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004220,FJI01,2026-06-01,5200,Research and development,Software licenses,IT,MKT,Marketing & Sales,Salesforce,BOB-PL-0012,PO-PL-4049,46821.13,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004221,FJI01,2026-06-21,5700,Research and development,Training,Development,FIN,Finance & Accounting,AWS,BOB-PL-0013,PO-PL-7358,74428.99,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004222,FJI01,2026-06-20,4020,Revenue,Subscription revenue,Operating Revenue,TAS,Tasmania Operations,LinkedIn,BOB-PL-0014,PO-PL-2381,167092.92,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004223,PNG01,2026-06-01,5300,General and administrative,Professional services,External,VIC,Victoria Operations,Google Ads,BOB-PL-0015,PO-PL-3713,103197.09,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004224,AUS01,2026-06-07,5300,General and administrative,Professional services,External,MKT,Marketing & Sales,Google Ads,BOB-PL-0016,PO-PL-5943,135478.99,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004225,AUS01,2026-06-23,5010,General and administrative,Employee benefits,Personnel,WA,Western Australia Operations,QBE Insurance,BOB-PL-0017,PO-PL-6185,76155.13,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004226,FJI01,2026-06-18,5510,Sales and marketing,Advertising,Sales,SA,South Australia Operations,AWS,BOB-PL-0018,PO-PL-1434,195454.51,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004227,NZL01,2026-06-28,5510,Sales and marketing,Advertising,Sales,ACT,Australian Capital Territory,Energy Australia,BOB-PL-0019,PO-PL-8767,41942.84,Input,Ready,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004228,PNG01,2026-06-05,2210,Tax provision,Income tax payable,Current Liabilities,R&D,Research & Development,Snowflake,BOB-PL-0020,PO-PL-1532,138296.73,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004229,PNG01,2026-06-09,2210,Tax provision,Income tax payable,Current Liabilities,QLD,Queensland Operations,Google Ads,BOB-PL-0021,PO-PL-9675,182543.17,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004230,AUS01,2026-06-24,5100,Other operating expenses,Office rent,Facilities,CORP,Corporate Head Office,Snowflake,BOB-PL-0022,PO-PL-5123,47278.49,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004231,NZL01,2026-06-07,6010,Cost of revenue,Direct materials,COGS,QLD,Queensland Operations,AWS,BOB-PL-0023,PO-PL-1348,82345.71,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004232,FJI01,2026-06-04,4020,Revenue,Subscription revenue,Operating Revenue,NSW,New South Wales Operations,Oracle,BOB-PL-0024,PO-PL-1069,324619.24,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004233,AUS01,2026-06-23,4020,Revenue,Subscription revenue,Operating Revenue,OPS,Operations & Logistics,Oracle,BOB-PL-0025,PO-PL-5776,326690.33,Input,Pending review,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004234,PNG01,2026-06-18,5910,Other income / expense,Interest expense,Finance,WA,Western Australia Operations,LinkedIn,BOB-PL-0026,PO-PL-3327,43659.59,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004235,FJI01,2026-06-18,4020,Revenue,Subscription revenue,Operating Revenue,FIN,Finance & Accounting,Microsoft,BOB-PL-0027,PO-PL-7796,217749.63,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004236,PNG01,2026-06-11,5210,Research and development,Cloud services,IT,R&D,Research & Development,Salesforce,BOB-PL-0028,PO-PL-1556,29359.94,Input,Ready,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004237,NZL01,2026-06-31,5510,Sales and marketing,Advertising,Sales,TAS,Tasmania Operations,Qantas Commercial,BOB-PL-0029,PO-PL-5641,54004.43,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004238,FJI01,2026-06-15,5500,Sales and marketing,Campaign spend,Sales,HR,Human Resources,Google Ads,BOB-PL-0030,PO-PL-2779,138518.71,Input,Pending review,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004239,PNG01,2026-06-24,4020,Revenue,Subscription revenue,Operating Revenue,OPS,Operations & Logistics,Officeworks,BOB-PL-0031,PO-PL-4753,236516.92,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004240,AUS01,2026-06-03,5300,General and administrative,Professional services,External,CORP,Corporate Head Office,QBE Insurance,BOB-PL-0032,PO-PL-1904,18858.6,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004241,PNG01,2026-06-23,5010,General and administrative,Employee benefits,Personnel,WA,Western Australia Operations,Google Ads,BOB-PL-0033,PO-PL-3241,179403.9,Input,Ready,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004242,NZL01,2026-06-13,5000,General and administrative,Salaries and wages,Personnel,FIN,Finance & Accounting,SAP Australia,BOB-PL-0034,PO-PL-1396,183984.15,Input,Pending review,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004243,PNG01,2026-06-05,5510,Sales and marketing,Advertising,Sales,VIC,Victoria Operations,Salesforce,BOB-PL-0035,PO-PL-2559,93737.48,Input,Pending review,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004244,PNG01,2026-06-02,2210,Tax provision,Income tax payable,Current Liabilities,CORP,Corporate Head Office,Energy Australia,BOB-PL-0036,PO-PL-7639,198789.25,Input,Pending review,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004245,AUS01,2026-06-04,5000,General and administrative,Salaries and wages,Personnel,ACT,Australian Capital Territory,Microsoft,BOB-PL-0037,PO-PL-4043,45984.24,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004246,NZL01,2026-06-22,5300,General and administrative,Professional services,External,QLD,Queensland Operations,Oracle,BOB-PL-0038,PO-PL-8612,133437.38,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004247,PNG01,2026-06-24,6030,Cost of revenue,Manufacturing overhead,COGS,FIN,Finance & Accounting,Google Ads,BOB-PL-0039,PO-PL-1693,51201.85,Input,Ready,None,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004248,FJI01,2026-06-31,4000,Revenue,Product sales,Operating Revenue,R&D,Research & Development,AWS,BOB-PL-0040,PO-PL-8589,456136.65,Input,Pending review,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004249,AUS01,2026-06-08,5100,Other operating expenses,Office rent,Facilities,VIC,Victoria Operations,QBE Insurance,BOB-PL-0041,PO-PL-9944,27105.05,Input,Ready,None,Yes,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 1 - Group P&L,2026-06,TXN004250,AUS01,2026-06-13,5320,General and administrative,Audit fees,External,QLD,Queensland Operations,Microsoft,BOB-PL-0042,PO-PL-6623,169551.94,Input,Ready,High variance,No,Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
